"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","40,428","36,259","1,115","317","319","7","387","2,024","914","1,110"
"Coryell County, Texas","","","","","","","","","",""
"    Estimate","75,576","53,234","9,815","591","1,610","557","1,090","8,679","1,577","7,102"
"Cottle County, Texas","","","","","","","","","",""
"    Estimate","1,624","1,270","126","3","0","0","110","115","43","72"
"Crane County, Texas","","","","","","","","","",""
"    Estimate","4,739","2,557","106","8","99","5","1,816","148","136","12"
"Crockett County, Texas","","","","","","","","","",""
"    Estimate","3,393","1,452","41","0","0","0","1,856","44","0","44"
"Crosby County, Texas","","","","","","","","","",""
"    Estimate","5,753","4,691","273","0","27","8","423","331","234","97"
"Culberson County, Texas","","","","","","","","","",""
"    Estimate","2,183","1,475","3","56","16","0","362","271","207","64"
"Dallam County, Texas","","","","","","","","","",""
"    Estimate","7,272","5,836","14","31","8","0","670","713","699","14"
"Dallas County, Texas","","","","","","","","","",""
"    Estimate","2,622,634","1,475,503","593,081","10,364","170,955","1,147","199,281","172,303","110,710","61,593"
"Dawson County, Texas","","","","","","","","","",""
"    Estimate","12,849","8,936","1,089","115","15","0","1,342","1,352","1,143","209"
"Deaf Smith County, Texas","","","","","","","","","",""
"    Estimate","18,617","15,092","180","90","132","15","999","2,109","1,544","565"
"Delta County, Texas","","","","","","","","","",""
"    Estimate","5,277","4,506","388","9","19","0","11","344","0","344"
"Denton County, Texas","","","","","","","","","",""
"    Estimate","861,690","614,943","85,098","4,715","79,003","841","23,296","53,794","23,741","30,053"
"DeWitt County, Texas","","","","","","","","","",""
"    Estimate","20,217","13,110","1,797","293","11","0","4,474","532","198","334"
"Dickens County, Texas","","","","","","","","","",""
"    Estimate","2,182","1,920","58","9","12","0","110","73","73","0"
"Dimmit County, Texas","","","","","","","","","",""
"    Estimate","10,232","7,182","9","12","164","0","1,195","1,670","1,620","50"
"Donley County, Texas","","","","","","","","","",""
"    Estimate","3,317","2,974","207","10","10","0","53","63","6","57"
"Duval County, Texas","","","","","","","","","",""
"    Estimate","11,194","10,330","153","12","0","0","112","587","579","8"
"Eastland County, Texas","","","","","","","","","",""
"    Estimate","18,289","16,855","427","106","62","0","486","353","77","276"
"Ector County, Texas","","","","","","","","","",""
"    Estimate","162,067","118,940","7,779","1,237","1,843","88","20,215","11,965","8,767","3,198"
"Edwards County, Texas","","","","","","","","","",""
"    Estimate","1,944","1,942","1","0","0","0","0","1","0","1"
"Ellis County, Texas","","","","","","","","","",""
"    Estimate","179,484","140,100","18,813","1,334","1,288","80","6,641","11,228","5,188","6,040"
"El Paso County, Texas","","","","","","","","","",""
"    Estimate","836,915","580,085","26,915","4,685","10,654","1,246","112,022","101,308","84,568","16,740"
"Erath County, Texas","","","","","","","","","",""
"    Estimate","42,226","37,392","704","387","418","59","1,997","1,269","432","837"
"Falls County, Texas","","","","","","","","","",""
"    Estimate","17,281","12,110","4,060","71","111","0","409","520","210","310"
"Fannin County, Texas","","","","","","","","","",""
"    Estimate","35,046","30,481","1,993","332","197","9","594","1,440","280","1,160"
"Fayette County, Texas","","","","","","","","","",""
"    Estimate","25,247","22,639","1,615","33","124","0","424","412","260","152"
"Fisher County, Texas","","","","","","","","","",""
"    Estimate","3,827","3,297","117","26","12","0","130","245","128","117"
"Floyd County, Texas","","","","","","","","","",""
"    Estimate","5,782","5,165","298","3","4","0","45","267","185","82"
"Foard County, Texas","","","","","","","","","",""
"    Estimate","1,207","967","2","4","0","0","57","177","99","78"
"Fort Bend County, Texas","","","","","","","","","",""
"    Estimate","790,892","382,754","158,968","2,719","164,939","152","33,690","47,670","25,554","22,116"
"Franklin County, Texas","","","","","","","","","",""
"    Estimate","10,767","9,131","475","30","0","0","627","504","279","225"
"Freestone County, Texas","","","","","","","","","",""
"    Estimate","19,744","15,233","2,859","65","165","0","271","1,151","734","417"
"Frio County, Texas","","","","","","","","","",""
"    Estimate","20,013","15,801","805","40","192","0","1,080","2,095","1,790","305"
"Gaines County, Texas","","","","","","","","","",""
"    Estimate","21,077","18,637","443","156","176","0","647","1,018","1,001","17"
"Galveston County, Texas","","","","","","","","","",""
"    Estimate","337,600","253,941","42,794","1,266","11,442","88","7,433","20,636","11,769","8,867"
"Garza County, Texas","","","","","","","","","",""
"    Estimate","6,028","4,515","567","20","134","0","407","385","329","56"
"Gillespie County, Texas","","","","","","","","","",""
"    Estimate","26,668","24,123","23","627","83","0","680","1,132","523","609"
"Glasscock County, Texas","","","","","","","","","",""
"    Estimate","1,447","1,019","0","0","0","0","249","179","179","0"
"Goliad County, Texas","","","","","","","","","",""
"    Estimate","7,578","6,524","468","0","31","0","436","119","102","17"
"Gonzales County, Texas","","","","","","","","","",""
"    Estimate","20,828","13,921","1,431","28","84","7","4,379","978","884","94"
"Gray County, Texas","","","","","","","","","",""
"    Estimate","22,063","18,462","1,076","333","76","47","1,105","964","418","546"
"Grayson County, Texas","","","","","","","","","",""
"    Estimate","133,527","112,113","7,238","1,012","2,161","9","2,545","8,449","2,876","5,573"
"Gregg County, Texas","","","","","","","","","",""
"    Estimate","123,633","88,003","24,177","242","1,462","155","1,673","7,921","3,770","4,151"
"Grimes County, Texas","","","","","","","","","",""
"    Estimate","28,447","21,080","4,187","97","75","0","1,099","1,909","1,116","793"
"Guadalupe County, Texas","","","","","","","","","",""
"    Estimate","163,030","117,541","13,744","453","2,737","412","14,197","13,946","9,348","4,598"
"Hale County, Texas","","","","","","","","","",""
"    Estimate","33,463","27,203","1,442","58","116","4","1,246","3,394","2,093","1,301"
"Hall County, Texas","","","","","","","","","",""
"    Estimate","3,025","2,233","187","29","0","0","331","245","117","128"
"Hamilton County, Texas","","","","","","","","","",""
"    Estimate","8,434","7,888","30","48","2","14","54","398","230","168"
"Hansford County, Texas","","","","","","","","","",""
"    Estimate","5,431","4,726","26","48","3","0","344","284","214","70"
"Hardeman County, Texas","","","","","","","","","",""
"    Estimate","3,958","3,306","228","27","0","0","204","193","54","139"
"Hardin County, Texas","","","","","","","","","",""
"    Estimate","57,356","51,803","3,487","155","420","0","427","1,064","398","666"
"Harris County, Texas","","","","","","","","","",""
"    Estimate","4,680,609","2,669,438","888,431","19,619","330,309","2,893","427,868","342,051","234,567","107,484"
"Harrison County, Texas","","","","","","","","","",""
"    Estimate","66,547","47,633","13,781","229","541","23","1,663","2,677","1,448","1,229"
"Hartley County, Texas","","","","","","","","","",""
"    Estimate","5,588","4,655","405","22","46","0","122","338","206","132"
"Haskell County, Texas","","","","","","","","","",""
"    Estimate","5,711","4,975","249","40","9","0","197","241","139","102"
"Hays County, Texas","","","","","","","","","",""
"    Estimate","222,827","184,186","9,205","1,354","3,283","108","6,675","18,016","12,571","5,445"
"Hemphill County, Texas","","","","","","","","","",""
"    Estimate","3,901","3,347","10","0","0","0","451","93","31","62"
"Henderson County, Texas","","","","","","","","","",""
"    Estimate","81,969","71,643","4,813","529","517","53","950","3,464","1,851","1,613"
"Hidalgo County, Texas","","","","","","","","","",""
"    Estimate","861,137","653,925","4,838","1,350","8,453","277","93,813","98,481","95,039","3,442"
"Hill County, Texas","","","","","","","","","",""
"    Estimate","36,109","30,523","2,239","415","181","44","1,434","1,273","433","840"
"Hockley County, Texas","","","","","","","","","",""
"    Estimate","22,986","18,780","765","118","81","19","1,277","1,946","1,619","327"
"Hood County, Texas","","","","","","","","","",""
"    Estimate","60,025","56,560","597","460","355","48","432","1,573","751","822"
"Hopkins County, Texas","","","","","","","","","",""
"    Estimate","36,708","30,475","2,614","111","264","51","2,120","1,073","437","636"
"Houston County, Texas","","","","","","","","","",""
"    Estimate","22,942","16,161","5,830","66","75","0","222","588","180","408"
"Howard County, Texas","","","","","","","","","",""
"    Estimate","36,213","28,486","1,996","389","197","18","2,885","2,242","1,321","921"
"Hudspeth County, Texas","","","","","","","","","",""
"    Estimate","4,687","2,524","63","3","62","0","1,030","1,005","889","116"
"Hunt County, Texas","","","","","","","","","",""
"    Estimate","96,202","75,615","7,342","1,043","1,266","29","7,385","3,522","1,332","2,190"
"Hutchinson County, Texas","","","","","","","","","",""
"    Estimate","21,105","17,955","459","323","92","81","696","1,499","965","534"
"Irion County, Texas","","","","","","","","","",""
"    Estimate","1,553","1,145","76","0","0","0","332","0","0","0"
"Jack County, Texas","","","","","","","","","",""
"    Estimate","8,888","8,137","328","0","22","0","137","264","109","155"
"Jackson County, Texas","","","","","","","","","",""
"    Estimate","14,822","12,339","1,121","6","62","6","581","707","567","140"
"Jasper County, Texas","","","","","","","","","",""
"    Estimate","35,562","27,118","5,866","58","160","83","1,405","872","364","508"
"Jeff Davis County, Texas","","","","","","","","","",""
"    Estimate","2,245","2,004","21","0","0","0","145","75","55","20"
"Jefferson County, Texas","","","","","","","","","",""
"    Estimate","253,136","138,959","84,915","802","9,670","122","6,972","11,696","7,227","4,469"
"Jim Hogg County, Texas","","","","","","","","","",""
"    Estimate","5,187","4,759","25","0","0","0","83","320","310","10"
"Jim Wells County, Texas","","","","","","","","","",""
"    Estimate","40,796","37,992","314","194","221","0","975","1,100","925","175"
"Johnson County, Texas","","","","","","","","","",""
"    Estimate","171,359","152,197","6,539","523","1,542","700","3,284","6,574","2,697","3,877"
"Jones County, Texas","","","","","","","","","",""
"    Estimate","19,874","13,668","2,735","98","68","0","1,698","1,607","683","924"
"Karnes County, Texas","","","","","","","","","",""
"    Estimate","15,547","11,850","909","57","86","0","1,400","1,245","416","829"
"Kaufman County, Texas","","","","","","","","","",""
"    Estimate","129,792","100,224","16,464","404","1,724","92","3,530","7,354","4,371","2,983"
"Kendall County, Texas","","","","","","","","","",""
"    Estimate","45,491","39,909","196","175","472","64","1,997","2,678","1,432","1,246"
"Kenedy County, Texas","","","","","","","","","",""
"    Estimate","391","364","0","0","1","0","1","25","25","0"
"Kent County, Texas","","","","","","","","","",""
"    Estimate","704","657","8","0","0","0","24","15","1","14"
"Kerr County, Texas","","","","","","","","","",""
"    Estimate","52,195","44,011","830","214","393","15","3,283","3,449","1,994","1,455"
"Kimble County, Texas","","","","","","","","","",""
"    Estimate","4,375","3,767","27","19","0","0","301","261","176","85"
"King County, Texas","","","","","","","","","",""
"    Estimate","279","271","0","0","0","0","8","0","0","0"
"Kinney County, Texas","","","","","","","","","",""
"    Estimate","3,674","3,573","0","1","0","0","36","64","56","8"
"Kleberg County, Texas","","","","","","","","","",""
"    Estimate","30,725","25,068","991","50","702","0","1,189","2,725","2,249","476"
"Knox County, Texas","","","","","","","","","",""
"    Estimate","3,679","2,960","196","0","45","0","195","283","213","70"
"Lamar County, Texas","","","","","","","","","",""
"    Estimate","49,705","39,645","6,413","657","383","19","564","2,024","415","1,609"
"Lamb County, Texas","","","","","","","","","",""
"    Estimate","13,018","11,334","426","61","95","0","216","886","583","303"
"Lampasas County, Texas","","","","","","","","","",""
"    Estimate","21,152","17,923","868","256","242","111","456","1,296","585","711"
"La Salle County, Texas","","","","","","","","","",""
"    Estimate","7,551","5,944","125","0","22","0","555","905","764","141"
"Lavaca County, Texas","","","","","","","","","",""
"    Estimate","20,072","16,060","1,215","52","90","2","1,935","718","381","337"
"Lee County, Texas","","","","","","","","","",""
"    Estimate","17,174","14,195","1,948","22","215","0","394","400","294","106"
"Leon County, Texas","","","","","","","","","",""
"    Estimate","17,325","14,898","1,173","38","145","37","771","263","34","229"
"Liberty County, Texas","","","","","","","","","",""
"    Estimate","86,173","66,423","8,171","463","400","8","7,781","2,927","1,874","1,053"
"Limestone County, Texas","","","","","","","","","",""
"    Estimate","23,364","17,123","4,085","436","203","36","348","1,133","952","181"
"Lipscomb County, Texas","","","","","","","","","",""
"    Estimate","3,301","2,620","57","44","32","0","354","194","70","124"
"Live Oak County, Texas","","","","","","","","","",""
"    Estimate","12,175","11,423","249","34","173","0","167","129","120","9"
"Llano County, Texas","","","","","","","","","",""
"    Estimate","21,452","19,666","123","209","22","0","621","811","186","625"
"Loving County, Texas","","","","","","","","","",""
"    Estimate","117","117","0","0","0","0","0","0","0","0"
"Lubbock County, Texas","","","","","","","","","",""
"    Estimate","308,392","240,194","22,261","2,527","7,021","334","17,132","18,923","11,309","7,614"
"Lynn County, Texas","","","","","","","","","",""
"    Estimate","5,886","4,907","54","18","31","20","178","678","561","117"
"McCulloch County, Texas","","","","","","","","","",""
"    Estimate","7,970","6,432","84","29","70","0","944","411","237","174"
"McLennan County, Texas","","","","","","","","","",""
"    Estimate","254,045","190,231","36,542","960","4,236","150","6,879","15,047","9,792","5,255"
"McMullen County, Texas","","","","","","","","","",""
"    Estimate","724","643","0","0","0","0","19","62","51","11"
"Madison County, Texas","","","","","","","","","",""
"    Estimate","14,329","10,249","1,965","60","576","0","583","896","307","589"
"Marion County, Texas","","","","","","","","","",""
"    Estimate","9,987","7,204","2,259","21","28","40","252","183","38","145"
"Martin County, Texas","","","","","","","","","",""
"    Estimate","5,676","4,726","28","172","3","8","682","57","57","0"
"Mason County, Texas","","","","","","","","","",""
"    Estimate","4,248","3,764","1","90","58","0","159","176","16","160"
"Matagorda County, Texas","","","","","","","","","",""
"    Estimate","36,791","23,322","3,842","98","703","173","6,934","1,719","1,336","383"
"Maverick County, Texas","","","","","","","","","",""
"    Estimate","58,098","47,063","372","1,105","29","0","2,779","6,750","6,711","39"
"Medina County, Texas","","","","","","","","","",""
"    Estimate","50,869","42,390","1,145","359","369","0","1,781","4,825","3,773","1,052"
"Menard County, Texas","","","","","","","","","",""
"    Estimate","2,108","1,668","2","3","0","0","274","161","66","95"
"Midland County, Texas","","","","","","","","","",""
"    Estimate","171,238","132,565","11,193","1,051","3,569","57","11,861","10,942","7,760","3,182"
"Milam County, Texas","","","","","","","","","",""
"    Estimate","24,797","20,860","2,519","98","151","43","503","623","297","326"
"Mills County, Texas","","","","","","","","","",""
"    Estimate","4,877","4,525","23","4","6","0","75","244","179","65"
"Mitchell County, Texas","","","","","","","","","",""
"    Estimate","8,256","6,236","829","90","56","0","391","654","459","195"
"Montague County, Texas","","","","","","","","","",""
"    Estimate","19,640","18,264","150","76","0","0","511","639","215","424"
"Montgomery County, Texas","","","","","","","","","",""
"    Estimate","590,188","485,821","30,585","2,551","17,715","182","17,699","35,635","21,183","14,452"
"Moore County, Texas","","","","","","","","","",""
"    Estimate","21,169","15,951","814","75","1,335","0","2,059","935","553","382"
"Morris County, Texas","","","","","","","","","",""
"    Estimate","12,357","8,672","2,905","25","15","7","484","249","2","247"
"Motley County, Texas","","","","","","","","","",""
"    Estimate","1,362","1,193","10","0","0","0","94","65","32","33"
"Nacogdoches County, Texas","","","","","","","","","",""
"    Estimate","65,080","47,763","11,789","678","904","14","1,371","2,561","1,315","1,246"
"Navarro County, Texas","","","","","","","","","",""
"    Estimate","49,475","36,010","5,853","294","318","804","4,392","1,804","580","1,224"
"Newton County, Texas","","","","","","","","","",""
"    Estimate","13,788","10,375","2,918","37","83","0","50","325","213","112"
"Nolan County, Texas","","","","","","","","","",""
"    Estimate","14,901","12,777","827","95","25","0","748","429","226","203"
"Nueces County, Texas","","","","","","","","","",""
"    Estimate","362,151","298,070","13,525","1,271","7,556","311","8,816","32,602","28,393","4,209"
"Ochiltree County, Texas","","","","","","","","","",""
"    Estimate","9,907","8,019","119","76","23","0","924","746","501","245"
"Oldham County, Texas","","","","","","","","","",""
"    Estimate","2,110","1,964","87","4","20","0","2","33","0","33"
"Orange County, Texas","","","","","","","","","",""
"    Estimate","83,776","71,727","7,280","215","997","0","866","2,691","1,334","1,357"
"Palo Pinto County, Texas","","","","","","","","","",""
"    Estimate","28,792","26,219","686","146","245","5","400","1,091","650","441"
"Panola County, Texas","","","","","","","","","",""
"    Estimate","23,186","18,560","3,748","32","126","0","257","463","125","338"
"Parker County, Texas","","","","","","","","","",""
"    Estimate","138,447","127,163","1,989","1,019","739","48","1,967","5,522","2,313","3,209"
"Parmer County, Texas","","","","","","","","","",""
"    Estimate","9,639","8,083","85","23","61","0","487","900","727","173"
"Pecos County, Texas","","","","","","","","","",""
"    Estimate","15,725","12,458","556","118","113","25","1,240","1,215","1,042","173"
"Polk County, Texas","","","","","","","","","",""
"    Estimate","50,155","41,236","4,780","811","391","22","1,062","1,853","834","1,019"
"Potter County, Texas","","","","","","","","","",""
"    Estimate","118,323","89,511","12,081","846","6,083","93","3,077","6,632","3,225","3,407"
"Presidio County, Texas","","","","","","","","","",""
"    Estimate","6,808","5,314","0","161","137","0","335","861","860","1"
"Rains County, Texas","","","","","","","","","",""
"    Estimate","12,001","10,847","335","162","43","0","458","156","31","125"
"Randall County, Texas","","","","","","","","","",""
"    Estimate","136,005","117,811","3,889","1,116","2,655","276","3,704","6,554","2,849","3,705"
"Reagan County, Texas","","","","","","","","","",""
"    Estimate","3,766","1,811","41","0","41","0","1,735","138","104","34"
"Real County, Texas","","","","","","","","","",""
"    Estimate","3,429","3,255","40","0","2","0","107","25","23","2"
"Red River County, Texas","","","","","","","","","",""
"    Estimate","12,115","9,475","1,942","216","11","0","202","269","34","235"
"Reeves County, Texas","","","","","","","","","",""
"    Estimate","15,546","12,113","328","10","182","14","2,057","842","818","24"
"Refugio County, Texas","","","","","","","","","",""
"    Estimate","7,015","5,634","410","14","13","0","378","566","217","349"
"Roberts County, Texas","","","","","","","","","",""
"    Estimate","784","758","0","1","0","0","0","25","4","21"
"Robertson County, Texas","","","","","","","","","",""
"    Estimate","17,094","12,615","3,456","24","87","18","346","548","355","193"
"Rockwall County, Texas","","","","","","","","","",""
"    Estimate","101,175","80,949","6,790","879","2,938","49","3,332","6,238","3,401","2,837"
"Runnels County, Texas","","","","","","","","","",""
"    Estimate","10,280","8,855","251","5","7","0","318","844","590","254"
"Rusk County, Texas","","","","","","","","","",""
"    Estimate","53,988","41,091","8,831","82","293","29","870","2,792","1,207","1,585"
"Sabine County, Texas","","","","","","","","","",""
"    Estimate","10,470","9,214","574","61","24","28","281","288","0","288"
"San Augustine County, Texas","","","","","","","","","",""
"    Estimate","8,260","5,921","1,812","48","9","0","397","73","0","73"
"San Jacinto County, Texas","","","","","","","","","",""
"    Estimate","28,574","24,163","2,686","125","42","12","327","1,219","576","643"
"San Patricio County, Texas","","","","","","","","","",""
"    Estimate","66,969","58,611","1,106","139","580","71","1,822","4,640","3,141","1,499"
"San Saba County, Texas","","","","","","","","","",""
"    Estimate","6,004","4,882","90","0","7","0","590","435","118","317"
"Schleicher County, Texas","","","","","","","","","",""
"    Estimate","2,898","1,756","45","1","0","25","1,030","41","33","8"
"Scurry County, Texas","","","","","","","","","",""
"    Estimate","16,918","14,102","659","30","139","0","1,187","801","405","396"
"Shackelford County, Texas","","","","","","","","","",""
"    Estimate","3,291","3,128","7","4","14","0","50","88","0","88"
"Shelby County, Texas","","","","","","","","","",""
"    Estimate","25,263","19,218","4,709","218","113","0","558","447","109","338"
"Sherman County, Texas","","","","","","","","","",""
"    Estimate","3,046","2,539","15","0","35","0","261","196","67","129"
"Smith County, Texas","","","","","","","","","",""
"    Estimate","230,184","172,553","39,343","837","3,773","185","5,955","7,538","3,121","4,417"
"Somervell County, Texas","","","","","","","","","",""
"    Estimate","8,958","8,081","103","0","57","0","623","94","81","13"
"Starr County, Texas","","","","","","","","","",""
"    Estimate","64,032","53,487","57","42","5","0","3,190","7,251","7,195","56"
"Stephens County, Texas","","","","","","","","","",""
"    Estimate","9,358","8,467","280","26","42","0","130","413","133","280"
"Sterling County, Texas","","","","","","","","","",""
"    Estimate","1,274","1,055","0","0","0","0","109","110","107","3"
"Stonewall County, Texas","","","","","","","","","",""
"    Estimate","1,412","1,278","25","27","0","0","51","31","25","6"
"Sutton County, Texas","","","","","","","","","",""
"    Estimate","3,793","2,147","2","15","0","4","1,529","96","96","0"
"Swisher County, Texas","","","","","","","","","",""
"    Estimate","7,403","6,233","516","163","7","4","109","371","134","237"
"Tarrant County, Texas","","","","","","","","","",""
"    Estimate","2,077,153","1,316,916","345,026","10,194","116,114","4,114","159,724","125,065","61,494","63,571"
"Taylor County, Texas","","","","","","","","","",""
"    Estimate","137,521","103,411","10,775","941","3,263","50","12,692","6,389","3,330","3,059"
"Terrell County, Texas","","","","","","","","","",""
"    Estimate","903","744","14","0","0","0","75","70","31","39"
"Terry County, Texas","","","","","","","","","",""
"    Estimate","12,408","11,067","315","17","2","0","386","621","465","156"
"Throckmorton County, Texas","","","","","","","","","",""
"    Estimate","1,500","1,409","16","0","0","0","4","71","55","16"
"Titus County, Texas","","","","","","","","","",""
"    Estimate","32,709","23,028","3,008","92","324","0","4,303","1,954","1,288","666"
"Tom Green County, Texas","","","","","","","","","",""
"    Estimate","118,645","96,174","4,989","446","1,578","25","6,697","8,736","6,492","2,244"
"Travis County, Texas","","","","","","","","","",""
"    Estimate","1,250,884","866,831","103,692","7,729","85,106","704","103,055","83,767","41,276","42,491"
"Trinity County, Texas","","","","","","","","","",""
"    Estimate","14,689","12,542","1,269","23","16","0","349","490","64","426"
"Tyler County, Texas","","","","","","","","","",""
"    Estimate","21,524","17,983","2,255","25","91","0","396","774","253","521"
"Upshur County, Texas","","","","","","","","","",""
"    Estimate","41,386","35,201","3,340","155","165","0","1,070","1,455","616","839"
"Upton County, Texas","","","","","","","","","",""
"    Estimate","3,651","1,679","258","14","31","0","1,603","66","63","3"
"Uvalde County, Texas","","","","","","","","","",""
"    Estimate","26,899","23,940","161","128","222","25","1,261","1,162","897","265"
"Val Verde County, Texas","","","","","","","","","",""
"    Estimate","49,018","41,308","656","155","346","5","2,682","3,866","3,318","548"
"Van Zandt County, Texas","","","","","","","","","",""
"    Estimate","55,970","51,677","1,608","427","234","6","700","1,318","425","893"
"Victoria County, Texas","","","","","","","","","",""
"    Estimate","92,044","75,571","5,456","323","1,084","93","2,805","6,712","4,862","1,850"
"Walker County, Texas","","","","","","","","","",""
"    Estimate","72,295","51,096","16,686","183","923","182","627","2,598","1,806","792"
"Waller County, Texas","","","","","","","","","",""
"    Estimate","53,626","29,346","13,070","378","657","20","8,270","1,885","1,269","616"
"Ward County, Texas","","","","","","","","","",""
"    Estimate","11,745","10,033","567","171","64","0","556","354","283","71"
"Washington County, Texas","","","","","","","","","",""
"    Estimate","35,275","26,961","6,072","64","582","0","482","1,114","802","312"
"Webb County, Texas","","","","","","","","","",""
"    Estimate","274,847","223,291","1,278","483","1,404","21","8,255","40,115","39,515","600"
"Wharton County, Texas","","","","","","","","","",""
"    Estimate","41,672","31,570","5,515","36","165","0","1,957","2,429","1,814","615"
"Wheeler County, Texas","","","","","","","","","",""
"    Estimate","5,187","4,670","142","18","17","0","142","198","8","190"
"Wichita County, Texas","","","","","","","","","",""
"    Estimate","132,154","102,546","13,481","1,300","2,944","149","4,860","6,874","2,532","4,342"
"Wilbarger County, Texas","","","","","","","","","",""
"    Estimate","12,717","9,378","1,242","180","140","0","748","1,029","522","507"
"Willacy County, Texas","","","","","","","","","",""
"    Estimate","21,419","18,457","183","164","0","0","325","2,290","2,220","70"
"Williamson County, Texas","","","","","","","","","",""
"    Estimate","570,437","431,837","36,524","1,948","40,526","712","17,282","41,608","16,962","24,646"
"Wilson County, Texas","","","","","","","","","",""
"    Estimate","50,110","44,370","614","188","253","30","1,274","3,381","1,676","1,705"
"Winkler County, Texas","","","","","","","","","",""
"    Estimate","7,822","6,286","295","132","0","2","214","893","816","77"
"Wise County, Texas","","","","","","","","","",""
"    Estimate","67,884","62,438","914","439","276","151","1,819","1,847","597","1,250"
"Wood County, Texas","","","","","","","","","",""
"    Estimate","45,054","39,780","2,216","420","274","41","1,257","1,066","448","618"
"Yoakum County, Texas","","","","","","","","","",""
"    Estimate","8,612","7,291","13","108","27","0","402","771","652","119"
"Young County, Texas","","","","","","","","","",""
"    Estimate","17,961","16,887","329","178","44","0","256","267","177","90"
"Zapata County, Texas","","","","","","","","","",""
"    Estimate","14,243","11,444","0","0","171","0","761","1,867","1,833","34"
"Zavala County, Texas","","","","","","","","","",""
"    Estimate","11,930","10,081","80","0","39","0","344","1,386","1,337","49"
"Beaver County, Utah","","","","","","","","","",""
"    Estimate","6,594","6,096","0","75","20","0","235","168","5","163"
"Box Elder County, Utah","","","","","","","","","",""
"    Estimate","54,953","50,833","291","507","453","87","1,155","1,627","893","734"
"Cache County, Utah","","","","","","","","","",""
"    Estimate","126,336","113,687","870","473","2,497","505","4,084","4,220","983","3,237"
"Carbon County, Utah","","","","","","","","","",""
"    Estimate","20,401","18,549","259","313","7","103","459","711","467","244"
"Daggett County, Utah","","","","","","","","","",""
"    Estimate","590","576","1","2","0","0","11","0","0","0"
"Davis County, Utah","","","","","","","","","",""
"    Estimate","350,761","312,734","4,471","1,600","6,038","2,615","6,749","16,554","6,032","10,522"
"Duchesne County, Utah","","","","","","","","","",""
"    Estimate","19,950","17,795","38","856","66","69","669","457","97","360"
"Emery County, Utah","","","","","","","","","",""
"    Estimate","10,099","9,812","7","68","104","27","0","81","1","80"
"Garfield County, Utah","","","","","","","","","",""
"    Estimate","5,000","4,638","7","215","3","11","86","40","11","29"
"Grand County, Utah","","","","","","","","","",""
"    Estimate","9,698","8,934","41","208","186","41","17","271","0","271"
"Iron County, Utah","","","","","","","","","",""
"    Estimate","53,148","48,229","337","996","502","137","1,236","1,711","734","977"
"Juab County, Utah","","","","","","","","","",""
"    Estimate","11,623","10,843","44","161","16","21","259","279","96","183"
"Kane County, Utah","","","","","","","","","",""
"    Estimate","7,658","7,136","15","253","124","12","79","39","0","39"
"Millard County, Utah","","","","","","","","","",""
"    Estimate","12,963","11,444","43","145","168","9","822","332","165","167"
"Morgan County, Utah","","","","","","","","","",""
"    Estimate","11,950","11,374","95","16","24","29","165","247","101","146"
"Piute County, Utah","","","","","","","","","",""
"    Estimate","1,870","1,803","4","4","0","0","48","11","2","9"
"Rich County, Utah","","","","","","","","","",""
"    Estimate","2,415","2,205","0","0","0","0","163","47","21","26"
"Salt Lake County, Utah","","","","","","","","","",""
"    Estimate","1,146,215","888,967","22,339","9,056","47,202","17,834","106,779","54,038","19,963","34,075"
"San Juan County, Utah","","","","","","","","","",""
"    Estimate","15,295","7,520","42","7,017","91","43","57","525","216","309"
"Sanpete County, Utah","","","","","","","","","",""
"    Estimate","30,421","26,613","201","318","239","189","2,309","552","79","473"
"Sevier County, Utah","","","","","","","","","",""
"    Estimate","21,475","20,272","139","252","64","59","420","269","107","162"
"Summit County, Utah","","","","","","","","","",""
"    Estimate","41,680","38,166","272","172","715","2","807","1,546","558","988"
"Tooele County, Utah","","","","","","","","","",""
"    Estimate","69,740","61,607","486","367","498","457","2,820","3,505","1,987","1,518"
"Uintah County, Utah","","","","","","","","","",""
"    Estimate","35,736","31,002","181","2,491","277","27","455","1,303","515","788"
"Utah County, Utah","","","","","","","","","",""
"    Estimate","621,506","560,029","3,861","3,470","8,810","5,267","12,940","27,129","7,738","19,391"
"Wasatch County, Utah","","","","","","","","","",""
"    Estimate","33,053","30,304","221","120","342","5","640","1,421","789","632"
"Washington County, Utah","","","","","","","","","",""
"    Estimate","172,127","154,802","1,202","2,347","1,562","1,201","6,379","4,634","1,721","2,913"
"Wayne County, Utah","","","","","","","","","",""
"    Estimate","2,698","2,625","2","17","4","22","4","24","8","16"
"Weber County, Utah","","","","","","","","","",""
"    Estimate","255,284","224,286","2,590","1,703","3,178","678","10,939","11,910","3,882","8,028"
"Addison County, Vermont","","","","","","","","","",""
"    Estimate","36,947","34,523","457","135","742","18","160","912","240","672"
"Bennington County, Vermont","","","","","","","","","",""
"    Estimate","35,649","33,881","309","138","321","46","160","794","190","604"
"Caledonia County, Vermont","","","","","","","","","",""
